"#","Name","Manufacturer","Quantity"
"1","CAP_0603","","9"
"2","CAP_1210","","2"
"3","CAP_1206","","3"
"4","EEEFK_sizeK16","Panasonic","1"
"5","EEEFK_sizeD8","Panasonic","1"
"6","MDB6S","","1"
"7","BAS316,135","Philips/NXP","1"
"8","SWITCH SPST SMD PTS645","","2"
"9","1727010","Phoenix Contact","3"
"10","PGM","","1"
"11","1727023","Phoenix Contact","1"
"12","SIL4","","1"
"13","Wurth 744062150","Bourns","1"
"14","#4_MTGP240H125V6H20","","4"
"15","BSH105","Philips-NXP","1"
"16","RES_0603","","3"
"17","RES_0402","","12"
"18","RES400","","1"
"19","ESP32-WROOM","Espressif","1"
"20","MCP16311","","1"
"21","TS461CLT","","1"
